#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ AUTOMATICALLY MATCHED LAYER(1)
#Frequency(Hz),General/Unknown()_Real
2080.000000,33.399113
2085.000000,33.423435
2090.000000,33.447735
2095.000000,33.471462
2100.000000,33.494125
2105.000000,33.515591
2110.000000,33.535927
2115.000000,33.555016
2120.000000,33.572754
2125.000000,33.589165
2130.000000,33.604317
2135.000000,33.617889
2140.000000,33.630009
2145.000000,33.640949
2150.000000,33.651474
2155.000000,33.662331
2160.000000,33.673985
2165.000000,33.686962
2170.000000,33.700996
2175.000000,33.715595
2180.000000,33.730499
2185.000000,33.744827
2190.000000,33.758240
2195.000000,33.770821
2200.000000,33.782696
2205.000000,33.794228
2210.000000,33.805443
2215.000000,33.816372
2220.000000,33.826962
2225.000000,33.837193
2230.000000,33.846714
2235.000000,33.855309
2240.000000,33.863266
2245.000000,33.870911
2250.000000,33.879086
2255.000000,33.888344
2260.000000,33.899467
2265.000000,33.912716
2270.000000,33.928143
2275.000000,33.945259
2280.000000,33.963459
2285.000000,33.981979
2290.000000,34.000225
2295.000000,34.017570
2300.000000,34.033772
2305.000000,34.048771
2310.000000,34.062775
2315.000000,34.076176
2320.000000,34.088955
2325.000000,34.101784
2330.000000,34.114712
2335.000000,34.128044
2340.000000,34.141987
2345.000000,34.156937
2350.000000,34.172626
2355.000000,34.189461
2360.000000,34.206844
2365.000000,34.225220
2370.000000,34.244225
2375.000000,34.263660
2380.000000,34.283539
2385.000000,34.303925
2390.000000,34.324650
2395.000000,34.345673
2400.000000,34.366909
2405.000000,34.387947
2410.000000,34.408092
2415.000000,34.427273
2420.000000,34.445145
2425.000000,34.461109
2430.000000,34.474659
2435.000000,34.486042
2440.000000,34.494701
2445.000000,34.500389
2450.000000,34.503048
2455.000000,34.502651
2460.000000,34.499432
2465.000000,34.497623
2470.000000,34.490623
2475.000000,34.483276
2480.000000,34.477005
2485.000000,34.472763
2490.000000,34.471577
2495.000000,34.481945
2500.000000,34.488354
2505.000000,34.498398
2510.000000,34.511261
2515.000000,34.526318
2520.000000,34.542709
2525.000000,34.559769
2530.000000,34.576950
2535.000000,34.593666
2540.000000,34.609737
2545.000000,34.624691
2550.000000,34.638241
2555.000000,34.650200
2560.000000,34.660603
2565.000000,34.669422
2570.000000,34.676868
2575.000000,34.683552
2580.000000,34.690125
2585.000000,34.696934
2590.000000,34.704525
2595.000000,34.713364
2600.000000,34.723167
2605.000000,34.734089
2610.000000,34.745117
2615.000000,34.756233
2620.000000,34.766678
2625.000000,34.776352
2630.000000,34.784351
2635.000000,34.791042
2640.000000,34.796562
2645.000000,34.801311
2650.000000,34.805862
2655.000000,34.810810
2660.000000,34.816063
2665.000000,34.822357
2670.000000,34.829422
2675.000000,34.837490
2680.000000,34.845974
2685.000000,34.855164
2690.000000,34.864662
2695.000000,34.874130
2700.000000,34.883331
2705.000000,34.892242
2710.000000,34.900990
2715.000000,34.909473
2720.000000,34.917786
2725.000000,34.926289
2730.000000,34.935127
2735.000000,34.944302
2740.000000,34.953739
2745.000000,34.963650
2750.000000,34.973946
2755.000000,34.984631
2760.000000,34.995537
2765.000000,35.006603
2770.000000,35.017593
2775.000000,35.029003
2780.000000,35.040260
2785.000000,35.051762
2790.000000,35.063011
2795.000000,35.073902
2800.000000,35.084213
2805.000000,35.094379
2810.000000,35.103672
2815.000000,35.112389
2820.000000,35.120411
2825.000000,35.127747
2830.000000,35.134430
2835.000000,35.140793
2840.000000,35.146553
2845.000000,35.152206
2850.000000,35.157547
2855.000000,35.162853
2860.000000,35.167915
2865.000000,35.172935
2870.000000,35.178162
2875.000000,35.183559
2880.000000,35.189270
2885.000000,35.195320
2890.000000,35.201843
2895.000000,35.208717
2900.000000,35.215736
2905.000000,35.223381
2910.000000,35.230988
2915.000000,35.238636
2920.000000,35.245880
2925.000000,35.252823
2930.000000,35.259613
2935.000000,35.265732
2940.000000,35.271252
2945.000000,35.276413
2950.000000,35.281017
2955.000000,35.284943
2960.000000,35.288158
2965.000000,35.290428
2970.000000,35.291691
2975.000000,35.292030
2980.000000,35.290993
2985.000000,35.288746
2990.000000,35.285038
2995.000000,35.280285
3000.000000,35.274395
3005.000000,35.267776
3010.000000,35.260452
3015.000000,35.252998
3020.000000,35.245483
3025.000000,35.238411
3030.000000,35.231674
3035.000000,35.225765
3040.000000,35.220928
3045.000000,35.217304
3050.000000,35.215168
3055.000000,35.214718
3060.000000,35.215969
3065.000000,35.218800
3070.000000,35.223183
3075.000000,35.228886
3080.000000,35.235687
3085.000000,35.243107
3090.000000,35.250988
3095.000000,35.258942
3100.000000,35.267021
3105.000000,35.274872
3110.000000,35.282616
3115.000000,35.290241
3120.000000,35.297810
3125.000000,35.305138
3130.000000,35.312355
3135.000000,35.319405
3140.000000,35.325962
3145.000000,35.331921
3150.000000,35.337280
3155.000000,35.341637
3160.000000,35.344872
3165.000000,35.346783
3170.000000,35.347263
3175.000000,35.346432
3180.000000,35.344391
3185.000000,35.341534
3190.000000,35.338200
3195.000000,35.334789
3200.000000,35.331856
3205.000000,35.329758
3210.000000,35.328899
3215.000000,35.329502
3220.000000,35.331837
3225.000000,35.335918
3230.000000,35.341595
3235.000000,35.348907
3240.000000,35.357635
3245.000000,35.367180
3250.000000,35.377586
3255.000000,35.388203
3260.000000,35.398712
3265.000000,35.408566
3270.000000,35.417305
3275.000000,35.424644
3280.000000,35.430294
3285.000000,35.433929
3290.000000,35.435341
3295.000000,35.434288
3300.000000,35.430698
3305.000000,35.424679
3310.000000,35.416248
3315.000000,35.405460
3320.000000,35.392738
3325.000000,35.378403
3330.000000,35.362812
3335.000000,35.346661
3340.000000,35.330536
3345.000000,35.315071
3350.000000,35.300873
3355.000000,35.288319
3360.000000,35.277691
3365.000000,35.269138
3370.000000,35.262886
3375.000000,35.258724
3380.000000,35.256413
3385.000000,35.255592
3390.000000,35.256321
3395.000000,35.258141
3400.000000,35.260616
3405.000000,35.263535
3410.000000,35.266739
3415.000000,35.269932
3420.000000,35.272938
3425.000000,35.275841
3430.000000,35.278847
3435.000000,35.281754
3440.000000,35.284748
3445.000000,35.288094
3450.000000,35.291920
3455.000000,35.296200
3460.000000,35.301220
3465.000000,35.306839
3470.000000,35.313084
3475.000000,35.319954
3480.000000,35.326931
3485.000000,35.334248
3490.000000,35.341492
3495.000000,35.348515
3500.000000,35.355412
3505.000000,35.361965
3510.000000,35.368252
3515.000000,35.374172
3520.000000,35.380039
3525.000000,35.385880
3530.000000,35.391594
3535.000000,35.397530
3540.000000,35.403667
3545.000000,35.409725
3550.000000,35.415707
3555.000000,35.421787
3560.000000,35.427280
3565.000000,35.432362
3570.000000,35.436989
3575.000000,35.440994
3580.000000,35.444141
3585.000000,35.446480
3590.000000,35.448105
3595.000000,35.448837
3600.000000,35.448837
3605.000000,35.447998
3610.000000,35.446167
3615.000000,35.443470
3620.000000,35.439938
3625.000000,35.435459
3630.000000,35.430225
3635.000000,35.423927
3640.000000,35.416595
3645.000000,35.408558
3650.000000,35.399792
3655.000000,35.390163
3660.000000,35.379955
3665.000000,35.369312
3670.000000,35.358109
3675.000000,35.346741
3680.000000,35.335133
3685.000000,35.323650
3690.000000,35.312344
3695.000000,35.301159
3700.000000,35.290276
3705.000000,35.279915
3710.000000,35.269802
3715.000000,35.259945
3720.000000,35.250088
3725.000000,35.240494
3730.000000,35.230774
3735.000000,35.220802
3740.000000,35.210506
3745.000000,35.200050
3750.000000,35.188969
3755.000000,35.177090
3760.000000,35.164795
3765.000000,35.151764
3770.000000,35.137699
3775.000000,35.122955
3780.000000,35.107578
3785.000000,35.091557
3790.000000,35.074776
3795.000000,35.057693
3800.000000,35.040668
3805.000000,35.023811
3810.000000,35.007168
3815.000000,34.991474
3820.000000,34.976997
3825.000000,34.963688
3830.000000,34.951794
3835.000000,34.941628
3840.000000,34.932846
3845.000000,34.925316
3850.000000,34.919552
3855.000000,34.914627
3860.000000,34.910492
3865.000000,34.907009
3870.000000,34.904018
3875.000000,34.901390
3880.000000,34.898998
3885.000000,34.896629
3890.000000,34.894566
3895.000000,34.892895
3900.000000,34.891247
3905.000000,34.889645
3910.000000,34.888264
3915.000000,34.887371
3920.000000,34.886391
3925.000000,34.886089
3930.000000,34.886311
