#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML_NEW
#Frequency(Hz),General/Unknown()_Real
1485.000000,31.876577
1490.000000,31.787786
1495.000000,31.673508
1500.000000,31.548281
1505.000000,31.434629
1510.000000,31.354736
1515.000000,31.323954
1520.000000,31.343157
1525.000000,31.402193
1530.000000,31.486221
1535.000000,31.580973
1540.000000,31.675306
1545.000000,31.760195
1550.000000,31.830332
1555.000000,31.879850
1560.000000,31.905516
1565.000000,31.904484
1570.000000,31.876188
1575.000000,31.824926
1580.000000,31.760260
1585.000000,31.697523
1590.000000,31.653969
1595.000000,31.642616
1600.000000,31.667330
1605.000000,31.723415
1610.000000,31.801086
1615.000000,31.890001
1620.000000,31.981323
1625.000000,32.067963
1630.000000,32.145721
1635.000000,32.211132
1640.000000,32.261459
1645.000000,32.295189
1650.000000,32.312859
1655.000000,32.316986
1660.000000,32.312038
1665.000000,32.306187
1670.000000,32.306534
1675.000000,32.319592
1680.000000,32.344955
1685.000000,32.378620
1690.000000,32.413727
1695.000000,32.443466
1700.000000,32.462181
1705.000000,32.467258
1710.000000,32.457008
1715.000000,32.434673
1720.000000,32.406986
1725.000000,32.383072
1730.000000,32.372963
1735.000000,32.384193
1740.000000,32.418118
1745.000000,32.471584
1750.000000,32.538639
1755.000000,32.613361
1760.000000,32.690536
1765.000000,32.766872
1770.000000,32.838940
1775.000000,32.905209
1780.000000,32.963264
1785.000000,33.012627
1790.000000,33.053452
1795.000000,33.084690
1800.000000,33.108063
1805.000000,33.126209
1810.000000,33.142452
1815.000000,33.160072
1820.000000,33.183914
1825.000000,33.216911
1830.000000,33.259315
1835.000000,33.309082
1840.000000,33.364071
1845.000000,33.419342
1850.000000,33.476204
1855.000000,33.531822
1860.000000,33.585125
1865.000000,33.635567
1870.000000,33.681503
1875.000000,33.721424
1880.000000,33.757015
1885.000000,33.787395
1890.000000,33.809254
1895.000000,33.823429
1900.000000,33.827301
1905.000000,33.823277
1910.000000,33.809269
1915.000000,33.789082
1920.000000,33.766071
1925.000000,33.743252
1930.000000,33.728008
1935.000000,33.725933
1940.000000,33.737251
1945.000000,33.761559
1950.000000,33.796822
1955.000000,33.838432
1960.000000,33.886005
1965.000000,33.936230
1970.000000,33.986942
1975.000000,34.036495
1980.000000,34.084625
1985.000000,34.130783
1990.000000,34.173798
1995.000000,34.214832
2000.000000,34.253178
2005.000000,34.288261
2010.000000,34.319218
2015.000000,34.401905
2020.000000,34.425568
2025.000000,34.445992
2030.000000,34.459805
2035.000000,34.471027
2040.000000,34.476173
2045.000000,34.477657
2050.000000,34.475323
2055.000000,34.469376
2060.000000,34.461742
2065.000000,34.454281
2070.000000,34.449932
2075.000000,34.451893
2080.000000,34.461201
2085.000000,34.476990
2090.000000,34.498062
2095.000000,34.522900
2100.000000,34.548637
2105.000000,34.572250
2110.000000,34.593243
2115.000000,34.608704
2120.000000,34.615925
2125.000000,34.613071
2130.000000,34.599903
2135.000000,34.573769
2140.000000,34.534649
2145.000000,34.482693
2150.000000,34.415413
2155.000000,34.336765
2160.000000,34.248886
2165.000000,34.156528
2170.000000,34.065498
2175.000000,33.980846
2180.000000,33.906792
2185.000000,33.847054
2190.000000,33.802986
2195.000000,33.775681
2200.000000,33.763184
2205.000000,33.764645
2210.000000,33.774929
2215.000000,33.791107
2220.000000,33.807457
2225.000000,33.822189
2230.000000,33.831539
2235.000000,33.835609
2240.000000,33.835838
2245.000000,33.834667
2250.000000,33.834801
2255.000000,33.841263
2260.000000,33.855453
2265.000000,33.881214
2270.000000,33.915619
2275.000000,33.959122
2280.000000,34.008308
2285.000000,34.059643
2290.000000,34.111603
2295.000000,34.160873
2300.000000,34.205849
2305.000000,34.246956
2310.000000,34.280350
2315.000000,34.307045
2320.000000,34.327282
2325.000000,34.341324
2330.000000,34.349712
2335.000000,34.354233
2340.000000,34.356983
2345.000000,34.358574
2350.000000,34.359493
2355.000000,34.359760
2360.000000,34.358124
